Nombre Empleado      Sueldo Base     Descuento Salud     Descuento AFP       Sueldo Liquido
Juan Perez        $1105474        $77383.18000000001        $132656.88        $895433.94
María García        $2097336        $146813.52000000002        $251680.31999999998        $1698842.16
Carlos López        $1707469        $119522.83000000002        $204896.28        $1383049.89
Ana Martínez        $380295        $26620.65        $45635.4        $308038.94999999995
Pedro Rodríguez        $1705756        $119402.92000000001        $204690.72        $1381662.36
Laura Hernández        $1482100        $103747.00000000001        $177852.0        $1200501.0
Miguel Sánchez        $1033380        $72336.6        $124005.59999999999        $837037.8
Isabel Gómez        $1092966        $76507.62000000001        $131155.91999999998        $885302.4600000001
Francisco Díaz        $2438708        $170709.56000000003        $292644.95999999996        $1975353.48
Elena Fernández        $2311249        $161787.43000000002        $277349.88        $1872111.6900000002
